"","matrix(sp_nm, dim(mySpeciesOcc)[1], 1)","pa","X","Y"
"7113","Akiapolauu",1,-155.3458056,19.53617099
"7114","Akiapolauu",1,-155.3465103,19.58815453
"7116","Akiapolauu",1,-155.3464261,19.58365809
"7128","Akiapolauu",1,-155.3453914,19.58459274
"7133","Akiapolauu",1,-155.3444541,19.53625176
"7145","Akiapolauu",1,-155.3436281,19.53050054
"7147","Akiapolauu",1,-155.3443548,19.58999785
"7153","Akiapolauu",1,-155.3430608,19.53608018
"7154","Akiapolauu",1,-155.3438102,19.588578
"7156","Akiapolauu",1,-155.3426851,19.52587973
"7165","Akiapolauu",1,-155.343272,19.59089699
"7167","Akiapolauu",1,-155.3422757,19.53051808
"7170","Akiapolauu",1,-155.3427465,19.58948592
"7174","Akiapolauu",1,-155.3439065,19.69629138
"7175","Akiapolauu",1,-155.3422608,19.58752344
"7176","Akiapolauu",1,-155.3415003,19.53619976
"7177","Akiapolauu",1,-155.3413322,19.52586114
"7180","Akiapolauu",1,-155.3421988,19.59180503
"7188","Akiapolauu",1,-155.340952,19.53054427
"7189","Akiapolauu",1,-155.3416539,19.59036712
"7195","Akiapolauu",1,-155.3412171,19.58849431
"7196","Akiapolauu",1,-155.3411451,19.59273991
"7198","Akiapolauu",1,-155.3397543,19.50557925
"7202","Akiapolauu",1,-155.339989,19.52585145
"7203","Akiapolauu",1,-155.3401275,19.53612724
"7209","Akiapolauu",1,-155.3405618,19.59128443
"7210","Akiapolauu",1,-155.3396188,19.53057057
"7218","Akiapolauu",1,-155.3400813,19.59363879
"7221","Akiapolauu",1,-155.3393445,19.55647578
"7227","Akiapolauu",1,-155.3386661,19.52593179
"7234","Akiapolauu",1,-155.3380643,19.51257327
"7235","Akiapolauu",1,-155.3391771,19.59041735
"7238","Akiapolauu",1,-155.338238,19.53059748
"7240","Akiapolauu",1,-155.3377663,19.50575849
"7241","Akiapolauu",1,-155.3390368,19.59455548
"7248","Akiapolauu",1,-155.3383963,19.59310073
"7253","Akiapolauu",1,-155.3372654,19.52589573
"7255","Akiapolauu",1,-155.3381331,19.59137015
"7256","Akiapolauu",1,-155.3372892,19.53615496
"7266","Akiapolauu",1,-155.3368665,19.53061522
"7267","Akiapolauu",1,-155.3365007,19.51644082
"7277","Akiapolauu",1,-155.3364298,19.55652257
"7281","Akiapolauu",1,-155.3359044,19.52597655
"7289","Akiapolauu",1,-155.3352251,19.51251062
"7290","Akiapolauu",1,-155.3354571,19.53064248
"7293","Akiapolauu",1,-155.3362687,19.59489845
"7294","Akiapolauu",1,-155.3350347,19.51649589
"7297","Akiapolauu",1,-155.3360737,19.59327536
"7300","Akiapolauu",1,-155.3353898,19.55839648
"7306","Akiapolauu",1,-155.3350677,19.5565402
"7308","Akiapolauu",1,-155.3345804,19.52597559
"7310","Akiapolauu",1,-155.3345153,19.53602827
"7312","Akiapolauu",1,-155.3346882,19.55267973
"7314","Akiapolauu",1,-155.3351761,19.59578865
"7316","Akiapolauu",1,-155.3337998,19.50610775
"7321","Akiapolauu",1,-155.3340265,19.53051646
"7332","Akiapolauu",1,-155.3338165,19.55367541
"7334","Akiapolauu",1,-155.3333015,19.52580245
"7336","Akiapolauu",1,-155.3336192,19.55651379
"7338","Akiapolauu",1,-155.3340837,19.59668787
"7342","Akiapolauu",1,-155.3330945,19.53592922
"7346","Akiapolauu",1,-155.3380784,19.8934071
"7347","Akiapolauu",1,-155.3328925,19.53711493
"7356","Akiapolauu",1,-155.3362322,19.77703937
"7361","Akiapolauu",1,-155.3361471,19.77970465
"7363","Akiapolauu",1,-155.3322737,19.51657669
"7364","Akiapolauu",1,-155.332804,19.55481741
"7366","Akiapolauu",1,-155.3323597,19.53052896
"7377","Akiapolauu",1,-155.3318321,19.52629105
"7378","Akiapolauu",1,-155.3354984,19.78036337
"7382","Akiapolauu",1,-155.3321246,19.55129496
"7383","Akiapolauu",1,-155.332145,19.55271261
"7386","Akiapolauu",1,-155.3320493,19.55533292
"7387","Akiapolauu",1,-155.3320312,19.55672397
"7388","Akiapolauu",1,-155.3320222,19.55808781
"7389","Akiapolauu",1,-155.3320417,19.55944225
"7390","Akiapolauu",1,-155.3316547,19.53583041
"7394","Akiapolauu",1,-155.3313204,19.51851265
"7395","Akiapolauu",1,-155.3313332,19.51940659
"7396","Akiapolauu",1,-155.331285,19.51670685
"7397","Akiapolauu",1,-155.3312625,19.515804
"7400","Akiapolauu",1,-155.3341739,19.71884263
"7404","Akiapolauu",1,-155.3312995,19.53033492
"7406","Akiapolauu",1,-155.3309662,19.51241204
"7407","Akiapolauu",1,-155.3348402,19.7810222
"7413","Akiapolauu",1,-155.3309944,19.53893667
"7416","Akiapolauu",1,-155.3309325,19.53528882
"7422","Akiapolauu",1,-155.3304976,19.52622699
"7423","Akiapolauu",1,-155.3303551,19.51762197
"7424","Akiapolauu",1,-155.3303681,19.51852493
"7425","Akiapolauu",1,-155.3303809,19.51941887
"7426","Akiapolauu",1,-155.3303327,19.51671912
"7429","Akiapolauu",1,-155.3340733,19.78142959
"7431","Akiapolauu",1,-155.3301587,19.51853666
"7433","Akiapolauu",1,-155.3303681,19.53579282
"7435","Akiapolauu",1,-155.3329533,19.71884949
"7441","Akiapolauu",1,-155.3300979,19.53753935
"7446","Akiapolauu",1,-155.329804,19.53033615
"7447","Akiapolauu",1,-155.3300597,19.55212541
"7451","Akiapolauu",1,-155.330052,19.55623475
"7452","Akiapolauu",1,-155.3294543,19.51657691
"7453","Akiapolauu",1,-155.3300334,19.55758969
"7454","Akiapolauu",1,-155.3294028,19.51763424
"7455","Akiapolauu",1,-155.3294286,19.51943115
"7457","Akiapolauu",1,-155.3293579,19.51582855
"7458","Akiapolauu",1,-155.3331195,19.78144204
